SK_ID_CURR,predicted_income
0,253580
1,172819
2,84626
3,147721
4,204265
5,233941
6,204269
7,187604
8,93091
9,132088
10,112834
11,186571
12,180169
13,62695
14,176985
15,205362
16,231262
17,150516
18,127272
19,127185
20,132224
21,234153
22,97622
23,334814
24,128476
25,158168
26,150487
27,309590
28,315651
29,92772
30,218105
31,150098
32,197552
33,111208
34,231119
35,156139
36,98274
37,160564
38,228328
39,140739
40,222759
41,214205
42,186911
43,87311
44,182871
45,198348
46,186634
47,132898
48,176774
49,133418
50,147608
51,161550
52,239360
53,246386
54,181600
55,118078
56,142875
57,175508
58,170487
59,294696
60,223753
61,158079
62,162118
63,320660
64,181207
65,185849
66,87499
67,68129
68,214269
69,172377
70,166720
71,214452
72,302605
73,122861
74,101420
75,129466
76,159323
77,104130
78,129253
79,232376
80,184671
81,173620
82,118517
83,160699
84,177979
85,181169
86,92422
87,168527
88,175637
89,209934
90,158844
91,198107
92,189368
93,171696
94,149263
95,104324
96,135967
97,275886
98,129096
99,108083
100,62927
101,147408
102,162755
103,182337
104,151725
105,262130
106,194569
107,126827
108,123437
109,229495
110,139384
111,77637
112,173980
113,303518
114,210480
115,201016
116,152514
117,129185
118,227070
119,109291
120,162981
121,123543
122,166490
123,181400
124,173420
125,113542
126,323597
127,186221
128,167846
129,107801
130,231914
131,166900
132,194414
133,165874
134,118985
135,101719
136,150391
137,305034
138,197808
139,199206
140,134110
141,339802
142,309959
143,148244
144,206740
145,328630
146,198952
147,223291
148,137514
149,176826
150,126146
151,117656
152,121142
153,363928
154,121692
155,215334
156,165665
157,150184
158,153936
159,303207
160,204445
161,296979
162,185893
163,130550
164,179618
165,182840
166,145794
167,180807
168,96736
169,160746
170,146353
171,133541
172,151238
173,197742
174,207304
175,141051
176,122116
177,157833
178,168644
179,88211
180,119609
181,185265
182,131676
183,177936
184,101777
185,170307
186,194937
187,133212
188,144460
189,260840
190,194171
191,183201
192,192744
193,116037
194,109240
195,141558
196,131654
197,131358
198,116480
199,156962
200,199498
201,259107
202,100924
203,249527
204,125077
205,131403
206,121405
207,260057
208,261940
209,141904
210,168127
211,345440
212,163482
213,115304
214,191768
215,220478
216,351294
217,155504
218,165497
219,153599
220,82793
221,195238
222,158207
223,158928
224,205257
225,68050
226,84991
227,207835
228,155113
229,211394
230,91804
231,174673
232,89460
233,217909
234,88462
235,158420
236,220710
237,156469
238,161696
239,115263
240,286030
241,140465
242,131283
243,225275
244,167861
245,171599
246,118193
247,52962
248,216044
249,182489
250,221366
251,176704
252,162858
253,103097
254,86563
255,99922
256,137953
257,197520
258,179128
259,134473
260,183513
261,191809
262,105184
263,132362
264,167555
265,175573
266,149890
267,54397
268,216287
269,75975
270,143366
271,184755
272,143865
273,139182
274,139890
275,141488
276,210789
277,112613
278,169447
279,82493
280,160921
281,108709
282,115210
283,129881
284,136202
285,169598
286,140144
287,180153
288,131156
289,126273
290,132748
291,201906
292,174794
293,220555
294,84657
295,178720
296,110763
297,114418
298,199459
299,170641
300,143153
301,231178
302,97065
303,163129
304,316221
305,44897
306,101745
307,281472
308,116804
309,189071
310,119573
311,211212
312,207162
313,217525
314,98553
315,252092
316,137828
317,194923
318,150132
319,157890
320,137670
321,218825
322,135044
323,125187
324,158056
325,134195
326,186210
327,258757
328,282618
329,85546
330,174771
331,136255
332,133202
333,110040
334,103491
335,167745
336,130944
337,226179
338,131049
339,223270
340,175701
341,215889
342,135853
343,163731
344,95809
345,128702
346,183956
347,173572
348,128371
349,265846
350,214408
351,108117
352,132637
353,120243
354,90915
355,250953
356,76236
357,153872
358,137220
359,221709
360,89356
361,243508
362,220094
363,392476
364,101489
365,117551
366,127323
367,167658
368,157624
369,196798
370,122370
371,170120
372,235118
373,197857
374,70123
375,173333
376,100614
377,41003
378,111495
379,145950
380,198951
381,157181
382,404553
383,222907
384,176459
385,125477
386,133243
387,179346
388,110189
389,219184
390,115446
391,150617
392,120055
393,215059
394,95408
395,101724
396,157380
397,160285
398,174389
399,187358
400,74223
401,168885
402,150715
403,128970
404,165198
405,119392
406,143372
407,155057
408,231772
409,155055
410,300761
411,185952
412,120609
413,134037
414,301044
415,132023
416,167911
417,106019
418,167975
419,146479
420,360223
421,192353
422,203637
423,119349
424,222846
425,245685
426,133781
427,196549
428,148294
429,158317
430,193684
431,121517
432,126864
433,117462
434,374003
435,125751
436,142886
437,128470
438,255985
439,128239
440,172890
441,136137
442,239765
443,225375
444,115539
445,158862
446,222942
447,192339
448,240897
449,68369
450,275068
451,253317
452,165301
453,112437
454,113240
455,164374
456,141744
457,255011
458,199219
459,255042
460,122764
461,130591
462,137386
463,162676
464,553729
465,141359
466,150572
467,113561
468,140475
469,214535
470,177057
471,237242
472,212254
473,125873
474,88596
475,170180
476,96606
477,223623
478,176741
479,144723
480,161377
481,203545
482,119675
483,113407
484,116593
485,205775
486,211409
487,227562
488,123647
489,127475
490,206567
491,155969
492,207840
493,160456
494,188284
495,126668
496,103842
497,120301
498,122846
499,187324
500,107141
501,80579
502,165929
503,213981
504,124697
505,140070
506,262430
507,205711
508,116161
509,142563
510,114521
511,220271
512,164404
513,179699
514,103495
515,149622
516,194962
517,143194
518,139279
519,214820
520,211572
521,126877
522,104072
523,125883
524,184374
525,209035
526,210928
527,201440
528,103566
529,223094
530,157934
531,96932
532,125840
533,345986
534,139130
535,118178
536,91126
537,161776
538,149139
539,218852
540,716465
541,178359
542,101281
543,223877
544,129430
545,259794
546,99624
547,102235
548,236913
549,124255
550,91471
551,258753
552,172148
553,153234
554,92120
555,150714
556,254484
557,97616
558,164363
559,112794
560,190420
561,183195
562,270338
563,154539
564,132158
565,156816
566,145455
567,177627
568,175033
569,114745
570,250285
571,232390
572,210441
573,135965
574,172224
575,174142
576,242778
577,228405
578,229973
579,155087
580,87693
581,129908
582,218421
583,102297
584,151855
585,249977
586,152019
587,104422
588,118467
589,201635
590,206785
591,273140
592,120164
593,205459
594,207523
595,226312
596,175152
597,130420
598,208464
599,189425
600,125254
601,177479
602,116426
603,178677
604,164171
